,submarca,descricao_completa,descricao_ajustada,de_para
51,CORONACORONITA,"Em uma garrafa de 210ml, Coronita é perfeita para momentos descontraídos e tranquilos. Leve um pack para o próximo encontro entre amigos e não esqueça de levar o limão. Corona não é só uma cerveja, é um estilo de vida. Um convite para se desconectar da rotina e aproveitar mais a vida lá fora, na praia e curtindo um pôr do sol com os amigos.A Corona clássica: gelada e com uma fatia de limão.. O sabor marcante e amargor presente de Corona permitem que ela harmonize com bolinhos de bacalhau, ostras temperadas ou camarões fritos. Uma fatia de limão no gargalo transforma a experiência em algo ainda mais especial.. água, malte, arroz, lúpulo. cevada, glúten. 0-4 ºC. 18.0",garrafa 210ml Coronita perfeito momento descontrair tranquilo Leve pack encontrar amigo esquecer levar limão Corona cervejar estilar vidar convite desconectar rotina aproveitar vidar praia curtir pôr sol amigo Corona clássico gelar fatiar limão sabor marcante amargor presentar Corona permitir harmonizar bolo bacalhau ostra temperar camarão frito fatiar limão gargalo transformar experiência especial água maltar arroz lúpulo cevar glúten 0-4 ºC. 18.0,
52,FRANZISKANER DUNKEL,"Fundada em 1363 em Munique, capital do tradicional polo cervejeiro da Bavária, a marca mantém até hoje os preceitos da Lei de Pureza da Baviera de 1516. A Franziskaner Hefe Weissbier Dunkel é uma cerveja de trigo escura. Possui sabor intenso do malte torrado, uma cerveja que agrada os amantes de cervejas escuras. Espuma abundante e cremosa. Tem um teor alcoólico de 5,5% e harmoniza com bacon, carnes vermelhas e chocolates.. . água, malte de trigo, malte de cevada, lúpulo, fermento. . . ","Fundada 1363 Munique capital tradicional polo cervejeiro Bavária marcar manter hoje preceito Lei Pureza Baviera 1516 Franziskaner Hefe Weissbier Dunkel cervejar trigar escuro Possui sabor intenso maltar torrar cervejar agradar amante cervejar escuro Espuma abundante cremoso teor alcoólico 5,5 harmonizar bacon carne vermelho chocolate água maltar trigar maltar cevar lúpulo fermentar",
53,FRANZISKANER HELL,"Fundada em 1363 em Munique, capital do tradicional polo cervejeiro da Bavária, a marca mantém até hoje os preceitos da Lei de Pureza da Baviera de 1516. A Franziskaner Hefe Weissbier Hell é uma cerveja de trigo clara, turva, com aroma frutado, lembrando banana e cravo. Espuma abundante, branca e cremosa.Tem um teor alcoólico de 5% e harmoniza com saladas, peixes e frutos do mar.. . água, malte de trigo, malte de cevada, lúpulo, fermento. . . ",Fundada 1363 Munique capital tradicional polo cervejeiro Bavária marcar manter hoje preceito Lei Pureza Baviera 1516 Franziskaner Hefe Weissbier Hell cervejar trigar claro turvo aromar frutar lembrar banana cravar Espuma abundante branco cremoso teor alcoólico harmonizar salada peixe fruto mar água maltar trigar maltar cevar lúpulo fermentar,
54,FRANZISKANER KRISTALL KLAR,"A Cerveja Franziskaner Kristall Klar passa por uma filtragem especial, que elimina a base de fermento da garrafa e possui o mais alto grau de carbonatação dentre os produtos da cervejaria Franziskaner. Esse resultado, produz uma cerveja de trigo com cor cristalina de sabor leve, refrescante e aroma levemente frutado.. . água, malte de trigo, malte de cevada, lúpulo. . . ",Cerveja Franziskaner Kristall Klar passar filtragem especial eliminar base fermentar garrafa possuir alto grau carbonatação dentre produto cervejar Franziskaner resultar produzir cervejar trigar cor cristalino sabor levar refrescante aromar levemente frutar água maltar trigar maltar cevar lúpulo,
55,GOOSE ISLANDGOOSE IPA,"A Goose Island IPA é inspirada nas tradicionais India Pale Ales que eram enviadas da Inglaterra para a Índia – altamente lupulada para preservar seu sabor distinto durante a longa viagem. O resultado é o sonho de um amante de lúpulo com um aroma frutado tropical e herbal desencadeado pelo dry hop e um sabor maltado agradável com corpo médio e um amargor equilibrado.. . água, malte, lúpulo. . . ",Goose Island IPA inspirar tradicional India Pale Ales ser enviar Inglaterra Índia altamente lupulada preservar sabor distinto durante longo viagem resultar sonhar amantar lúpulo aromar frutar tropical herbal desencadear dry hop sabor maltar agradável corpo médio amargor equilibrar água maltar lúpulo,GOOSE
56,GOOSE ISLAND HONKERS ALE,"Inspirada em visitas do fundador da marca, John Hall a pubs ingleses, a Cerveja Goose Island Honkers Ale é uma autêntica English Bitter e foi a primeira cerveja produzida pela marca. Ela combina aroma de lúpulo frutado com um rico meio malte para criar uma cerveja perfeitamente equilibrada.. . água, malte de cevada, malte de trigo, lúpulo. . . ",Inspirada visitar fundador marcar John Hall pub inglesar Cerveja Goose Island Honkers Ale autêntico English Bitter cervejar produzir marcar combinar aromar lúpulo frutar rico maltar criar cervejar perfeitamente equilibrar água maltar cevar maltar trigar lúpulo,CAMDEN PALE ALE
57,GOOSE ISLAND MIDWAY,"A Goose Island Midway é uma Session IPA leve e refrescante. Ela tem sua história toda ligada à Chicago. Seu nome é originário da Feira Mundial da cidade, de 1893. Em seu centro, estava a Midway Plaisance, uma área que exibia a primeira roda gigante do mundo, reunindo visitantes de todas as nacionalidades. Nesse espírito, a cerveja é uma session pronta para reunir amantes de cerveja de todos os cantos do planeta com seu aroma tropical de lúpulo e um agradável final maltado.. . água, malte, lúpulo. . . ",Goose Island Midway Session IPA levar refrescante história ligar Chicago nome originário Feira Mundial cidade 1893 centrar Midway Plaisance exibir rodar gigante mundo reunir visitante nacionalidade espírito cervejar session pronto reunir amante cervejar canto planeta aromar tropical lúpulo agradável maltar água maltar lúpulo,
58,GOOSE ISLAND SOFIE,"A premiada Cerveja Goose Island Sofie aterrissou no Brasil. Ela é uma Belgian Farmhouse Ale que tem 20% de sua receita refermentada com raspas de laranja em barris de vinho.. . água, malte de cevada, malte de trigo, lúpulo, levedura, cascas de laranja. . . ",premiar Cerveja Goose Island Sofie aterrissou Brasil Belgian Farmhouse Ale 20 receitar refermentar raspar laranjo barrir vinho água maltar cevar maltar trigar lúpulo levedura cascar laranjo,
59,KONA BIG WAVE,. . . . . ,,
60,KONA LONG BOARD,. . . . . ,,
61,PATAGONIA AMBER LAGER,"A cor marrom acobreada e o sabor equilibrado de malte e lúpulo da Patagonia Amber Lager não deixam dúvidas: esta é uma American Amber Lager clássica! Os maltes Melanoidin, Carared e Carapils usados em sua produção lhe conferem um aroma sutil de caramelo e boa formação de espuma. Deguste esta cerveja com bacalhau, anchovas ou frutos do mar para realçar ainda mais sua refrescância.. . água, malte, cereais não malteados, lúpulo. . . ",cor marrom acobrear sabor equilibrar maltar lúpulo Patagonia Amber Lager deixar dúvida American Amber Lager clássico malte Melanoidin Carared Carapils usar produção conferir aromar sutil caramelo formação espumar Deguste cervejar bacalhau anchova fruto mar realçar refrescância água maltar cereal malteados lúpulo,
62,PATAGONIA BOHEMIAN PILSENER,"A Patagonia Bohemian Pilsener é uma tradicional cerveja do tipo Pilsen. Ela é produzida com o lúpulo tcheco Saaz que proporciona um aroma fresco e frutado bem característico, além de uma coloração dourada profunda. Escolha pratos com frutos do mar e peixes, como anchovas ou bacalhau, para combinar com o sabor dessa cerveja argentina.. Lula frita é uma ótima pedida com Pilsen, pois a cerveja vai limpar o paladar deixando o sabor da lula intacto. Todo peixe com sabor intenso vai muito bem com esse estilo de cerveja.. água, malte, lúpulo. . 0-4 ºC. 18.0",Patagonia Bohemian Pilsener tradicional cervejar Pilsen produzir lúpulo tcheco Saaz proporcionar aromar fresco frutar característico coloração dourar profundo Escolha prato fruto mar peixe anchova bacalhau combinar sabor cervejar argentino Lula frito ótima pedir Pilsen cervejar limpar paladar deixar sabor lula intacto peixe sabor intenso estilar cervejar água maltar lúpulo 0-4 ºC. 18.0,
63,PATAGONIA WEISSE,"A Patagonia Weisse tem aroma cítrico marcante e cor clara — características tradicionais das cervejas de trigo do tipo Witbier. Notas de laranja, limão e abacaxi equilibram perfeitamente esse aroma e o sabor refrescante e pouco adocicado desta cerveja. Experimente com saladas temperadas com limão, peixes e frutos do mar para harmonizar com este clássico rótulo argentino.. O sabor e os aromas marcantes da Patagonia Weisse combinam muito bem com vários pratos com peixe.. água, maltes de cevada, trigo, cereais não malteados, lúpulo, extratos naturais de laranja, semente de coentro. . 4-8 ºC. 10.0",Patagonia Weisse aromar cítrico marcante cor claro característico tradicional cervejar trigar Witbier Notas laranjo limão abacaxi equilibrar perfeitamente aromar sabor refrescante adocicar cervejar Experimente salada temperar limão peixe fruto mar harmonizar clássico rótulo argentino sabor aromar marcante Patagonia Weisse combinar prato peixe água malte cevar trigar cereal malteados lúpulo extratos natural laranjo sementar coentro 4-8 ºC. 10.0,
64,SKOL,"A clássica redonda que anima qualquer momento. Seu nome vem da palavra escandinava skål, que significa “à vossa saúde/à nossa saúde”; expressão comum que antecede brindes. É hoje a maior do segmento no mercado brasileiro e a quinta maior do segmento no mundo. Cerveja do tipo Pilsen, Skol é uma cerveja clara, com aroma refinado e sabor leve e suave. Skol Pilsen é uma típica cerveja clara, com aroma refinado e sabor leve e suave. Seu teor de amargor é menos acentuado e seu teor alcoólico é médio.. Por ser uma cerveja leve, não deve ser harmonizada com pratos de sabor muito forte. Combina saladas, camarão e mariscos.. água, malte, milho, lúpulo. . 0-4 ºC. 8.0",clássico redondo animar nome palavra escandinavo skål significar saudar saudar expressão comum anteceder brinde hoje segmentar mercar brasileiro segmentar mundo Cerveja Pilsen Skol cervejar claro aromar refinar sabor levar suave Skol Pilsen típico cervejar claro aromar refinar sabor levar suave teor amargor acentuar teor alcoólico médio cervejar levar harmonizar prato sabor forte Combina salada camarão marisco água maltar milho lúpulo 0-4 ºC. 8.0,
65,SKOL PURO MALTE,"Só a puro malte Skol é levinha e não pesa. É perfeita para o solzão de um churrasco, com a galera na praia ou até mesmo no happy hour, sempre fazendo a diversão durar mais tempo. Leve e democrática, ela é resultado de um processo inovador que destaca o sabor do puro malte e aquele detalhe que nenhuma outra tem: desce redondo.. Uma Puro Malte leve e refrescante pede pratos igualmente leves, como aves grelhadas, salada de polvo e mix de castanhas.. água, malte, lúpulo. . 0-4 ºC. 11.0",puro maltar Skol levinha pesar perfeito solzão churrasco galera praia happy hour fazer diversão durar Leve democrático resultar processar inovador destacar sabor puro maltar detalhar descer redondo Puro Malte levar refrescante pedir prato igualmente leve ave grelhar salada polvo mix castanho água maltar lúpulo 0-4 ºC. 11.0,
66,STELLA ARTOIS,"A receita de Stella Artois foi criada, originalmente, como um presente de Natal para os habitantes da pequena cidade de Leuven, na Bélgica. Cristalina, recebeu o nome de Stella, estrela em Latim. Sua receita única produz uma cerveja com aromas suaves e notas maltadas. A experiência e a tradição cervejeira de mais de 600 anos resultam em uma lager muito bem equilibradas. Uma cerveja de sabor intenso e com final suave. Stella Artois foi criada para ser saboreada.. A Stella Artois tem equilíbrio e sofisticação. O amargor e a alta refrescância vão cortar a gordura de carnes vermelhas, já os aromas florais vão complementar a harmonização com frutos do mar.. água, malte, lúpulo. cevada, glúten. 0-4 ºC. 16.0",receitar Stella Artois criar originalmente presentar Natal habitante pequeno cidade Leuven Bélgica Cristalina receber nome Stella estrelo Latim receitar único produzir cervejar aromar suave noto maltar experiência tradição cervejeiro 600 ano resultar lager equilibrar cervejar sabor intenso suave Stella Artois criar saborear Stella Artois equilíbrio sofisticação amargor alto refrescância cortar gordura carne vermelho aromar florir complementar harmonização fruto mar água maltar lúpulo cevar glúten 0-4 ºC. 16.0,
67,STELLA ARTOIS SEM GLUTEN,"Mesmo sabor da Stélla Artois: Cerveja Puro Malte feita com com Tlúpulos nobres para um sabor único, agora sem glutén! Seus ingredientes são os mesmos da versão regular! Para garantirmos sua qualidade, seu processo produtivo conta com quatro análises que asseguram o atendimento da regulamentação para alimentos e bebidas sem glúten.. Harmoniza com Salada Caprese, Sushi e Cevivhe.. água, malte, lúpulo nobre. . 0-4 ºC. 16.0",sabor Stélla Artois Cerveja Puro Malte feito Tlúpulos nobre sabor único glutén ingrediente mesmo versão regular garantir qualidade processar produtivo contar análise assegurar atendimento regulamentação alimento bebido glúten Harmoniza Salada Caprese Sushi Cevivhe água maltar lúpulo nobre 0-4 ºC. 16.0,
68,WALS 42,"Cerveja do Estilo Saison, de receita belga. Coloração dourado âmbar.. . água, malte de cevada, açúcar, lúpulo, extrato de abacaxi, extrato de limão, extrato de coentro, extrato de amêndoa, extrato de café, levedura. . . ",Cerveja Estilo Saison receitar belga Coloração dourar âmbar água maltar cevar açúcar lúpulo extrato abacaxi extrato limão extrato coentro extrato amêndoa extrato café levedura,
69,WALS ALAMBIQUE COUNTY,"BELGIAN STRONG ALE. . cerveja produzida através de uma parceria entre a cervejaria wäls, a goose island black trippel com bananas passas, castanha de baru (típica do cerrado mineiro), maturada por 5 meses em barris de carvalho que antes foram utilizados para maturar cachaça mineira. cevada, glúten pode conter trigo. . ",BELGIAN STRONG ALE cervejar produzir parceria cervejar wäls goose island black trippel banana passar castanho baru típico cerrar mineiro maturar barrir carvalho utilizar maturar cachaça mineiro cevar glúten conter trigar,
70,WALS BELGIUM WITTE,"Cerveja de trigo de receita belga, extremamente refrescante. elaborada com pimenta da jamaica e laranja da terra, trazendo notas de especiarias sutilmente.. . água, malte, trigo, aveia, lúpulo, leveduras. . . ",Cerveja trigar receitar belga extremamente refrescante elaborar pimenta jamaica laranjo terra trazer noto especiaria sutilmente água maltar trigar aveia lúpulo levedura,
71,WALS BOHEMIAN PILSNER,"A espuma aveludada, os três tipos exóticos de lúpulo e fermento especial fazem da Cerveja Wäls Bohemian Pilsner uma cerveja dourada que aguça o paladar. Seu amargor pronunciado é característico do estilo e o aroma frutado e herbal dão o toque final para o primeiro exemplar nacional produzido no autêntico padrão Pilsner, rendendo a medalha de ouro no South Beer Cup 2012, Festival Brasileiro de Cerveja em 2013 e 2014 e eleita a melhor do mundo em 2015 pelo World Beer Awards, na categoria Lager no estilo Czech-Style Pale. Campeã Nacional com Medalha de Ouro no Estilo Czech Style Pale na WBA 2017.. . água, malte, lúpulo, leveduras. . . ",espumar aveludar tipo exótico lúpulo fermentar especial Cerveja Wäls Bohemian Pilsner cervejar dourar aguçar paladar amargor pronunciar característico estilar aromar frutar herbal tocar exemplar nacional produzir autêntico padrão Pilsner render medalhar ourar South Beer Cup 2012 Festival Brasileiro Cerveja 2013 2014 eleito melhor mundo 2015 World Beer Awards categoria Lager estilar Czech-Style Pale Campeã Nacional Medalha Ouro Estilo Czech Style Pale WBA 2017 água maltar lúpulo levedura,
72,WALS DUBBEL,"Cerveja do estilo Belgian Strong Ale Dubbel, de aparência castanha escura, espuma densa e duradoura.. . água, malte de cevada, açúcar, lúpulo, extrato de uva passa, levedura. . . ",Cerveja estilar Belgian Strong Ale Dubbel aparência castanho escuro espumar denso duradouro água maltar cevar açúcar lúpulo extrato uva passar levedura,
73,WALS HOP CORN IPA,"Essa receita parece uma pipoca de lúpulos Columbus, Cascadde, Amarillo e dry hopping de Centennieal. Receita na qual erramos na mão e atingimos 70 IBU’s. E utilizamos o polêmico milho na receita. Sinta a potência e equilíbrio da nossa cerveja com milho.. . água, malte, carboidratos, lúpulo. . . ",receitar pipocar lúpulo Columbus Cascadde Amarillo dry hopping Centennieal Receita errar mão atingir 70 IBU ’s utilizar polêmico milho receitar Sinta potência equilíbrio cervejar milho água maltar carboidratos lúpulo,
74,WALS LAGER,"A lata Wäls Läger 473ml é uma cerveja de coloração amarelo claro, bem translúcida, brilhante e com espuma cremosa branca e duradoura. No aroma tem notas moderadas de malte, lúpulo predominante floral, levemente cítrico. No sabor, dulçor de malte moderado e carbonatação média. De corpo médio-baixo, tem baixo amargor equilibrado com dulçor de malte. No retrogosto uma cerveja seca, leve dulçor de malte que persiste pouco junto com amargor, “crispy”.. Combina com comidas leves, como peixes e frango (carnes magras), petiscos, como amendoim, por exemplo, e saladas.. água, malte de cevada, lúpulo, levedura. . 0-4 ºC. 17.0",lato Wäls Läger 473ml cervejar coloração amarelar claro translúcido brilhante espumar cremoso branco duradouro aromar noto moderar maltar lúpulo predominante floral levemente cítrico sabor dulçor maltar moderar carbonatação médio corpo médio-baixo amargor equilibrar dulçor maltar retrogosto cervejar seco levar dulçor maltar persistir juntar amargor crispy Combina comido leve peixe frango carne magro petisco amendoim salada água maltar cevar lúpulo levedura 0-4 ºC. 17.0,
75,WALS LAGOINHA,. . . . . ,,
76,WALS NIOBIUM,"Coloração avermelhada, espuma cremosa e aroma acentuado de maracujá.. . água, malte de cevada, açúcar, lúpulo, levedura. . . ",Coloração avermelhar espumar cremoso aromar acentuar maracujá água maltar cevar açúcar lúpulo levedura,
77,WALS PETROLEUM,"Cerveja complexa, amadeirada, envolvente e inesquecivel desde o primeiro gole. Um escuro profundo, com alta licorosidade que vai dominar o seu paladar. Aromas variam do cacau extrato bruto à torrefação da cevada, do perfume da baunilha de orquídeas ao frutado do envelhecimento em carvalho francês.. . água, malte de cevada, açúcar mascavo, flocos de aveia, lúpulo, extrato de cacau, levedura. . . ",Cerveja complexo amadeirar envolvente inesquecivel gole escuro profundar alto licorosidade dominar paladar Aromas variar cacau extrato bruto torrefação cevar perfumar baunilha orquídea frutar envelhecimento carvalho francês água maltar cevar açúcar mascavar floco aveia lúpulo extrato cacau levedura,
78,WALS QUADRUPPEL,"Elaborada com quatro tipos de malte, nobre cepa de levedura, lúpulos especiais e especiarias. Intenso aroma e sabor de malte, chocolate, toe, mel e frutas secas. Aparência marrom-rubi, espuma densa e duradoura. Saturada por um ano em carvalho francês anteriormente marinado em cachaça genuinamente mineira. Entre as notas de madeira se destaca a baunilha.. . água, malte de cevada, açúcar, lúpulo, extrato de laranja, extrato de coentro, levedura. . . ",Elaborada tipo maltar nobre cepa levedura lúpulo especial especiaria Intenso aromar sabor maltar chocolate toar mel frutar seco Aparência marrom-rubi espumar denso duradouro Saturada ano carvalho francês anteriormente marinar cachaça genuinamente mineiro noto madeirar destacar baunilha água maltar cevar açúcar lúpulo extrato laranjo extrato coentro levedura,
79,WALS SESSION CITRA,"Session Beer é um estilo para se beber em grandes quantidades sem perder a qualidade. Esta cerveja tem massiva quantidade de lúpulo americano Citra e uma agradável base de malte.. . água, malte de cevada, lúpulo, levedura. . . ",Session Beer estilar beber quantidade perder qualidade cervejar massivo quantidade lúpulo americano Citra agradável base maltar água maltar cevar lúpulo levedura,
80,WALS SESSION FREE,. . . . . ,,
81,WALS TRIPPEL,"A criatividade faz parte do DNA da Wäls e isso se reflete na Trippel, uma cerveja temperada com coentro, casca de laranja e especiarias que lhe concedem um aroma cítrico e paladar frutado. É campeã do Festival Brasileiro de Cerveja e do Bière Beer. Cerveja do estilo Belgian Strong Ale Trippel, de cor alaranjada, espuma densa e duradoura.. . água, malte de cevada, açúcar, lúpulo, extrato de laranja, extrato de coentro, levedura. . . ",criatividade DNA Wäls reflete Trippel cervejar temperar coentro cascar laranjo especiaria conceder aromar cítrico paladar frutar campeão Festival Brasileiro Cerveja Bière Beer Cerveja estilar Belgian Strong Ale Trippel cor alaranjar espumar denso duradouro água maltar cevar açúcar lúpulo extrato laranjo extrato coentro levedura,
82,WALS VERANO,"Wäls Verano é a Pale Ale que o clima Brasileiro sempre pediu! Refrescante e leve, ao mesmo tempo com aromas e sabores marcantes!  Uma cerveja que vai te surpreender! Verano tem 5%ABV , 25 IBU’s , passa por dry hopping de lúpulo Columbus, corpo com bom balanço de maltes e muito equilíbrio.. . água, malte de cevada, lúpulo, levedura. . . ",Wäls Verano Pale Ale clima Brasileiro pedir Refrescante levar aromar sabor marcante cervejar surpreender Verano 5%ABV 25 IBU ’s passar dry hopping lúpulo Columbus corpo balançar malte equilíbrio água maltar cevar lúpulo levedura,
83,WALSX WALS,"Com coloração clara e cristalina, a Cerveja X Wäls Pilsen agrada ao paladar com seu sabor refrescante, destacado pelo equilíbrio entre o malte e o lúpulo, combinando com o aroma floral suave e marcante. De boa duração, a X Wäls é produzida com refinada técnica de lupulagem.. . água, malte de cevada, lúpulo, levedura. cevada, glúten pode conter trigo. . ",coloração claro cristalino Cerveja Wäls Pilsen agradar paladar sabor refrescante destacar equilíbrio maltar lúpulo combinar aromar floral suave marcante duração Wäls produzir refinar técnico lupulagem água maltar cevar lúpulo levedura cevar glúten conter trigar,
