,submarca,ale,alto,amargor,amendoim,ano,aromar,açúcar,açúcar lúpulo,brahma,brasil,brasileiro,característico,castanho,cerveja,cervejar,cervejar levar,cevar,cevar açúcar,cevar glúten,cevar lúpulo,claro,clássico,colorado,coloração,combinar,cor,cremoso,criar,cítrico,dourar,encorpar,equilibrar,escuro,especial,espumar,estilar,extrato,feito,fermentar,fermentação,frutar,fruto,fruto mar,glúten,glúten ºc,harmoniza,harmonizar,hoje,ingrediente,lager,laranjo,levar,levar refrescante,leve,levedura,levemente,lúpulo,lúpulo cevar,lúpulo levedura,lúpulo ºc,maltar,maltar cevar,maltar lúpulo,maltar milho,maltar trigar,malte,mar,marcante,marcar,milho,milho lúpulo,mundo,nome,noto,pale,passar,peixe,petisco,pilsen,prato,presentar,produzir,puro,puro maltar,qualidade,queijo,receitar,refrescante,refrescância,resultar,sabor,salada,suave,tradicional,trazer,trigar,ºc,água,água maltar,único
0,ADRIATICA,0.0,0.2842809502393475,0.0,0.0,0.0,0.1708640257016834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19777522475026282,0.2381965008367482,0.0,0.14040204108880708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30448290061377997,0.0,0.0,0.0,0.29381959877392644,0.0,0.26777475491867553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2128992034999755,0.0,0.0,0.0,0.30448290061377997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09831408950480305,0.0,0.0,0.0,0.19896455792462275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26777475491867553,0.0,0.0,0.30448290061377997,0.0,0.0,0.0,0.0,0.0,0.0,0.27565219305033084,0.0,0.29381959877392644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09831408950480305,0.0,0.0
1,ANDES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262355841102575,0.0,0.0,0.18624828073832503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28241833462626426,0.0,0.38976210526921495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35521269735091854,0.0,0.0,0.26083424429765106,0.0,0.0,0.0,0.39590030052927827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36566239806228723,0.0,0.0,0.4039073528686451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13041712214882553,0.0,0.0
2,BECKS,0.0,0.19609423115875638,0.2881596517237787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21002933980126776,0.0,0.0,0.32861125345867925,0.0,0.09684796071368633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16674293869549578,0.0,0.14685579737048768,0.0,0.0,0.30561566010596874,0.0,0.0,0.19609423115875638,0.0,0.0,0.0,0.18470841836321636,0.0,0.0,0.0678161015618032,0.0,0.0,0.0,0.06862190727381096,0.0,0.0,0.0,0.0,0.18470841836321636,0.16674293869549578,0.17970982521139856,0.0,0.0,0.0,0.21002933980126776,0.0,0.0,0.0,0.0,0.17508185081036304,0.0,0.0,0.20267389803093694,0.0,0.0,0.19014219847625966,0.0,0.0,0.0,0.0,0.0,0.19014219847625966,0.18470841836321636,0.20433197435376318,0.16295698706728315,0.0,0.21002933980126776,0.0,0.0,0.12153487593243627,0.0678161015618032,0.0,0.21002933980126776
3,BERRIO DO PIAUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1660405074381502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517761957602484,0.0,0.0,0.26198062876645156,0.0,0.3474732624779888,0.0,0.0,0.21856930019129608,0.0,0.0,0.0,0.0,0.11626698004605135,0.0,0.0,0.0,0.11764848966517356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2567568849580695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6519767042640896,0.2567568849580695,0.0,0.0,0.17515797161614055,0.0,0.0,0.0,0.0,0.0,0.2083648671850929,0.11626698004605135,0.0,0.0
4,BUDWEISER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2501849359116466,0.0,0.10481387557985583,0.0,0.12356253777150097,0.0,0.0,0.0,0.0,0.24259109234768728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23565845633230587,0.0,0.0,0.0,0.0,0.0,0.267963910040804,0.0,0.0,0.0,0.18736455446077807,0.0,0.0,0.19495839802473736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08652251992707245,0.0,0.0,0.0,0.08755059938267196,0.0,0.0,0.0,0.0,0.0,0.0,0.45856209881877785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23565845633230587,0.26069498121548235,0.0,0.4467529856992142,0.0,0.0,0.0,0.15505910075227997,0.08652251992707245,0.0,0.267963910040804
5,CARACU,0.0,0.0,0.0,0.0,0.0,0.16796500475468468,0.0,0.0,0.0,0.2561078762719431,0.0,0.0,0.0,0.0,0.3512325918047196,0.0,0.1380198634686422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28883441147082767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20928697882008082,0.0,0.0,0.21776933334923512,0.29931679087676943,0.0,0.0,0.0,0.0,0.0,0.0,0.22714614125180127,0.0,0.09664601102140627,0.0,0.0,0.0,0.29338314001951205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28883441147082767,0.2134271374697349,0.0,0.0,0.0,0.2709752490391072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14559868372426696,0.0,0.0,0.29931679087676943,0.0,0.0,0.17320165400759674,0.09664601102140627,0.0,0.0
6,ESMERA DE GOIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15137140221437828,0.0,0.17844807760580386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27059046502284895,0.0,0.37343860642988647,0.0,0.0,0.37343860642988647,0.0,0.0,0.4698042910680853,0.0,0.0,0.0,0.0,0.1249551654494833,0.0,0.0,0.0,0.12643990998279012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27594334201784515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35034821115272863,0.27594334201784515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22393517439483143,0.1249551654494833,0.0,0.0
7,HOEGAARDEN,0.0,0.0,0.0,0.0,0.0,0.11550910418932517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08051391836196668,0.0,0.09491590711339039,0.0,0.0,0.0,0.16736649366129658,0.0,0.0,0.0,0.0,0.18102360598230693,0.0,0.0,0.1986306860573332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1986306860573332,0.0,0.0,0.15620782039912218,0.1634165259072807,0.0,0.0,0.0,0.0,0.14975941358627035,0.0,0.0,0.0,0.41167878313098344,0.12494362800308557,0.0,0.0,0.0,0.20583939156549172,0.0664632146015102,0.0,0.0,0.0,0.06725294501554005,0.0,0.0,0.0,0.0,0.0,0.1634165259072807,0.176124731501117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34317816433709314,0.0,0.0,0.1986306860573332,0.0,0.0,0.0,0.0,0.0,0.0,0.18634898572890723,0.14677329658536178,0.0,0.0,0.30038352725970235,0.0,0.17158908216854657,0.0,0.0,0.33473298732259316,0.11911033448751145,0.0664632146015102,0.0,0.0
8,LEFFE,0.2520814029126614,0.0,0.0,0.0,0.0,0.33064858961099625,0.2520814029126614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3457105879741483,0.0,0.2716998892767035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29461099618589753,0.0,0.0,0.2842934185112976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23389257578263134,0.0,0.0,0.0,0.0,0.2143456103776379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09512656306719602,0.0,0.0,0.0,0.19251375528050582,0.0,0.0,0.0,0.0,0.25909299714696443,0.23389257578263134,0.0,0.0,0.21007168157482467,0.0,0.0,0.0,0.0,0.0,0.0,0.24558968061375772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14330961229977182,0.0,0.0,0.0,0.0,0.0,0.0,0.09512656306719602,0.0,0.0
9,LEGITIMA,0.0,0.0,0.0,0.37060630387297266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899247366358922,0.0,0.17089262286733856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29422548423628553,0.0,0.2591337206377589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2249564372229035,0.0,0.0,0.0,0.0,0.1196645895600835,0.0,0.0,0.0,0.12108647031659825,0.0,0.0,0.0,0.0,0.0,0.29422548423628553,0.0,0.0,0.26425995792669105,0.0,0.0,0.0,0.0,0.0,0.0,0.3089398731884992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33551454027444605,0.0,0.0,0.0,0.0,0.0,0.37060630387297266,0.0,0.0,0.1196645895600835,0.0,0.0
10,MAGNIFICA DO MARANHAO,0.0,0.1868636660728545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1868636660728545,0.0,0.39142854414449463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34250101667832056,0.0,0.0,0.4002856400844576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19313361428096054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1456148462889818,0.0,0.19313361428096054,0.0,0.0,0.2429716670328227,0.0,0.0,0.0,0.0,0.06462385599884442,0.0,0.0,0.0,0.06539173075272389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19313361428096054,0.14271136958808162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19313361428096054,0.1760138072696583,0.0,0.0,0.19313361428096054,0.0,0.0,0.14271136958808162,0.18119180800204598,0.0,0.19471364148768172,0.1552862612818354,0.0,0.0,0.2001428200422288,0.0,0.11581397544560282,0.06462385599884442,0.0,0.0
11,MICHELOB ULTRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1549031118428037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38215145907352094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38215145907352094,0.0,0.3960205010763208,0.0,0.0,0.0,0.0,0.0,0.34827667630831693,0.0,0.0,0.12787054678627266,0.0,0.0,0.0,0.12938993251657788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38215145907352094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2823814917848937,0.0,0.0,0.0,0.30726329822936227,0.0,0.0,0.0,0.0,0.2291598998052051,0.0,0.0,0.0
12,MODELO,0.0,0.0,0.0,0.0,0.4742662692418569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1855088833733949,0.0,0.21869192682709507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33161438873893406,0.0,0.45765698060465354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153135221548933,0.0,0.0,0.0,0.15495480765594694,0.0,0.0,0.0,0.0,0.41708921504764895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2307005374946122,0.0,0.0,0.0,0.0,0.0,0.2744373345447262,0.153135221548933,0.0,0.0
13,NOSSA,0.0,0.0,0.0,0.3623672546530368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28347934121153695,0.0,0.16709346263607996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28768447772601013,0.0,0.25337284863809806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21995536967696078,0.0,0.0,0.0,0.0,0.11700429362618897,0.0,0.0,0.0,0.11839456416610628,0.0,0.0,0.0,0.0,0.0,0.28768447772601013,0.0,0.0,0.25838512315603795,0.0,0.0,0.0,0.0,0.0,0.0,0.3020717471080718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32805562556512474,0.0,0.0,0.0,0.0,0.0,0.3623672546530368,0.0,0.20968622468606427,0.11700429362618897,0.0,0.0
14,ORIGINAL,0.0,0.278297166097186,0.20447826023335505,0.0,0.0,0.16726753621971568,0.0,0.0,0.0,0.0,0.24847637091438524,0.0,0.0,0.19361228575425674,0.23318274088123497,0.0,0.0,0.0,0.0,0.0,0.0,0.2698500342347722,0.0,0.0,0.0,0.0,0.0,0.29807388885721275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1809295723406726,0.0,0.0,0.0,0.0,0.1924893839954866,0.0,0.0,0.0,0.09738829242265905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28763503714811434,0.21254088909251456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28763503714811434,0.0,0.0,0.0,0.0,0.0,0.28763503714811434,0.0,0.0,0.0,0.2698500342347722,0.0,0.14499409051880194,0.0,0.24847637091438524,0.0,0.0,0.0,0.0,0.0962446919977433,0.0,0.0
15,POLAR,0.0,0.0,0.16944577366168923,0.24700601740311504,0.0,0.13861022218640234,0.0,0.0,0.0,0.0,0.0,0.0,0.23061756571763442,0.0,0.09661621212954938,0.0,0.11389851099915999,0.0,0.0,0.0,0.20083877401496927,0.0,0.0,0.0,0.0,0.21722722570044986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24700601740311504,0.0,0.19609883674460593,0.0,0.17271046833440581,0.0,0.0,0.17971038505912534,0.0,0.0,0.0,0.0,0.1499315933564602,0.0,0.21722722570044986,0.0,0.0,0.15951090622325584,0.0,0.0,0.0,0.08070312480317372,0.0,0.0,0.0,0.0,0.21722722570044986,0.19609883674460593,0.0,0.0,0.1761270628277269,0.0,0.0,0.0,0.0,0.0,0.0,0.20590585453039206,0.24700601740311504,0.0,0.23835561465629385,0.0,0.0,0.0,0.0,0.0,0.24700601740311504,0.0,0.0,0.0,0.0,0.24030560330759004,0.0,0.20590585453039206,0.0,0.0,0.0,0.14293167663174067,0.07975545311162792,0.0,0.0
16,SERRAMALTE,0.0,0.0,0.2263574334253495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12906664670544427,0.0,0.1521535418889466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2823341474271609,0.2901872157510191,0.0,0.0,0.0,0.3184119852044377,0.3184119852044377,0.0,0.32996779401307463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23071863932068792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10654287373415701,0.0,0.0,0.0,0.32342651820266044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3184119852044377,0.0,0.2987239870361621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605084577412941,0.0,0.0,0.0,0.0,0.0,0.19093806105863237,0.10654287373415701,0.0,0.0
17,SERRANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27591979839783004,0.0,0.16263758172677095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34035195384585504,0.0,0.0,0.0,0.0,0.0,0.24661615557918024,0.0,0.0,0.0,0.0,0.34035195384585504,0.0,0.0,0.21408982043774147,0.0,0.0,0.0,0.0,0.11388414044933125,0.0,0.0,0.0,0.115237336648578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25149476778631297,0.0,0.0,0.0,0.0,0.0,0.0,0.2940164006573732,0.35270400806819685,0.0,0.0,0.0,0.0,0.31930736709895885,0.0,0.0,0.0,0.0,0.25149476778631297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20409452270812006,0.2277682808986625,0.0,0.0
18,SPATEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2690318336545584,0.0,0.15857755437327978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24045971666245788,0.0,0.3318555274494653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11104117684618388,0.0,0.0,0.0,0.22472118466348082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34389922933723555,0.0,0.0,0.0,0.0,0.28667667870399727,0.0,0.0,0.0,0.0,0.0,0.6226725807198741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26682358912608584,0.0,0.0,0.0,0.0,0.0,0.11104117684618388,0.0,0.0
