,PedidoProdutoId,ProdutoMarca,ProdutoSubmarca,ProdutoSegmento2,ProdutoTipoContainer,ProdutoTamanhoContainer,ProdutoVariedade,ProdutoSegmento1,ProdutoPercentAlcoolico,cluster,de_para,cluster_caracteristica
0,10946,LEFFE,LEFFE BLONDE,Spécialités,PERFECT DRAFT,6.0,Blonde,PREMIUM,6.600000000000001,4,LEFFE,3
1,19898,,,,,0.0,,,5.0,0,ADRIATICA,3
2,80176,,,,,0.0,,,0.0,2,ADRIATICA,3
3,66989,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,8.0,3,ANDES,3
4,11766,,,,,0.0,,,5.2,0,ADRIATICA,3
5,16550,,,,,0.0,,,3.8,0,ADRIATICA,3
6,16519,,,,,0.0,,,4.6,0,ADRIATICA,4
9,29777,,,,,0.0,,,5.0,0,ADRIATICA,4
10,48859,,,,,0.0,,,5.2,0,ADRIATICA,4
11,3450,,,,,0.0,,,4.8,0,ADRIATICA,3
12,63480,,,,,0.0,,,5.0,0,ADRIATICA,3
13,70601,GOOSE,GOOSE,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,5.899999999999999,3,GOOSE ISLANDGOOSE IPA,4
14,10947,HOEGAARDEN,HOEGAARDEN WHITE,Spécialités,PERFECT DRAFT,6.0,Blanche,PREMIUM,4.8,4,HOEGAARDEN,4
15,33335,HOEGAARDEN,HOEGAARDEN ROSEE,Super Spécialités,PERFECT DRAFT,6.0,Rosée,PREMIUM,3.0,4,HOEGAARDEN,4
18,20614,LEFFE,LEFFE RUBY,Super Spécialités,PERFECT DRAFT,6.0,Ruby,PREMIUM,5.0,4,LEFFE,4
19,63481,,,,,0.0,,,5.2,0,ADRIATICA,4
21,82315,KWAK,KWAK,Craft,BOTTLE VP - Hors Tendances,0.75,-,SUPER PREMIUM,8.4,1,BECKS,4
22,59874,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,BOTTLE VC,0.33,-,SUPER PREMIUM,8.4,1,ANDES,3
23,71316,BUD,BUD,Pils,PERFECT DRAFT,6.0,Bud,PREMIUM LAGER,5.0,3,BUDWEISER,4
24,3530,,,,,0.0,,,5.1,0,ADRIATICA,4
26,18690,,,,,0.0,,,4.9,0,ADRIATICA,4
29,61629,KWAK,KWAK,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,8.4,3,BECKS,4
30,64665,LEFFE,LEFFE AMBREE,Spécialités,PERFECT DRAFT,6.0,Ambrée,PREMIUM,6.600000000000001,4,LEFFE,4
31,17028,LEFFE,LEFFE RITUEL 9°,Super Spécialités,PERFECT DRAFT,6.0,Rituel,PREMIUM,9.0,4,LEFFE,4
33,63466,GOOSE,GOOSE,Craft,BOTTLE VP - Hors Tendances,0.35,-,SUPER PREMIUM,4.2,1,GOOSE ISLANDGOOSE IPA,0
39,53566,LEFFE,LEFFE ROYALE,Super Spécialités,PERFECT DRAFT,6.0,IPA,PREMIUM,7.5,4,LEFFE,7
48,48537,LEFFE,LEFFE ROYALE,Super Spécialités,PERFECT DRAFT,6.0,Whitbread Golding,PREMIUM,7.5,4,LEFFE,0
51,60036,,,,,0.0,,,5.2,0,ADRIATICA,0
57,67561,,,,,0.0,,,5.0,0,ADRIATICA,0
65,80125,,,,,0.0,,,5.0,0,ADRIATICA,0
66,77311,CORONA,CORONA EXTRA,Bouteille Young Adult,BOTTLE VP - Tendances,0.35,Corona,SUPER PREMIUM,4.5,1,CORONA,0
74,9938,,,,,0.0,,,8.200000000000001,0,ADRIATICA,0
76,47934,LEFFE,LEFFE ROYALE,Super Spécialités,BOTTLE VC,0.33,IPA,PREMIUM,0.0,5,LEFFE,0
84,30822,LEFFE,LEFFE RUBY,Super Spécialités,BOTTLE VC,0.33,Ruby,PREMIUM,5.0,6,LEFFE,0
85,3338,,,,,0.0,,,6.5,0,ADRIATICA,0
86,3337,LEFFE,LEFFE BLONDE,Spécialités,BOTTLE VC,0.33,Blonde,PREMIUM,6.600000000000001,0,LEFFE,0
108,77589,BUD,BUD,Bouteille Young Adult,BOTTLE VP - Tendances,0.33,Bud,PREMIUM LAGER,5.0,1,BUDWEISER,0
111,59873,KWAK,KWAK,Craft,BOTTLE VC,0.33,-,SUPER PREMIUM,8.4,1,BECKS,0
123,74342,GINETTE,GINETTE LAGER,Craft,PERFECT DRAFT,6.0,Triple,PREMIUM LAGER,4.5,4,BRAHMA EXTRA RED LAGER,0
130,10611,LEFFE,LEFFE BRUNE,Spécialités,PERFECT DRAFT,6.0,Brune,PREMIUM,6.5,4,LEFFE,0
224,70605,BIRRA DEL BORGO,BIRRA DEL BORGO,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,5.0,3,BERRIO DO PIAUI,0
236,63445,GOOSE,GOOSE,Craft,BOTTLE VP - Hors Tendances,0.35,-,SUPER PREMIUM,5.899999999999999,1,GOOSE ISLANDGOOSE IPA,0
245,78356,LEFFE,LEFFE LA LEGERE,Spécialités,PERFECT DRAFT,6.0,La Légère,PREMIUM LAGER,5.0,4,LEFFE,0
266,10958,HOEGAARDEN,HOEGAARDEN GRAND CRU,Spécialités,BOTTLE VC,0.33,Grand Cru,PREMIUM,8.5,6,HOEGAARDEN,0
267,71317,,,,,0.0,,,5.0,0,ADRIATICA,0
268,3410,,,,,0.0,,,6.600000000000001,0,ADRIATICA,0
304,59848,,,,,0.0,,,8.0,0,ADRIATICA,0
306,76623,,,,,0.0,,,5.800000000000001,0,ADRIATICA,0
340,54632,,,,,0.0,,,6.600000000000001,0,ADRIATICA,0
375,63482,,,,,0.0,,,5.1,0,ADRIATICA,0
384,81408,GINETTE,GINETTE BLANCHE,Craft,PERFECT DRAFT,6.0,Blanche,SUPER PREMIUM,5.0,3,CARACU,0
390,79923,CAMDEN,CAMDEN PALE ALE,Craft,BOTTLE VP - Hors Tendances,0.33,-,SUPER PREMIUM,4.0,1,GOOSE ISLAND HONKERS ALE,0
394,79894,CAMDEN,CAMDEN HELLS,Craft,BOTTLE VP - Hors Tendances,0.33,-,SUPER PREMIUM,4.6,1,ESMERA DE GOIAS,0
452,72328,,,,,0.0,,,5.2,0,ADRIATICA,0
500,70225,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,BOTTLE VP - Hors Tendances,0.75,Blonde,SUPER PREMIUM,8.4,1,ANDES,0
501,59847,,,,,0.0,,,8.4,0,ADRIATICA,0
504,9974,,,,,0.0,,,4.8,0,ADRIATICA,0
505,3372,,,,,0.0,,,5.2,0,ADRIATICA,0
508,78355,,,,,0.0,,,5.0,0,ADRIATICA,0
509,11574,,,,,0.0,,,4.8,0,ADRIATICA,0
618,59942,GINETTE,GINETTE TRIPLE,Craft,BOTTLE VP - Hors Tendances,0.33,Triple,SUPER PREMIUM,9.0,6,LEGITIMA,0
707,10957,HOEGAARDEN,HOEGAARDEN WHITE,Spécialités,BOTTLE VC,0.33,Blanche,PREMIUM,4.9,0,HOEGAARDEN,0
720,69490,LEFFE,"LEFFE BLONDE 0,0",Spécialités,BOTTLE VC,0.33,Blonde,PREMIUM,0.0,2,LEFFE,0
928,70572,,,,,0.0,,,6.600000000000001,0,ADRIATICA,0
1032,81410,GINETTE,GINETTE FRUIT,Craft,PERFECT DRAFT,6.0,Fruit,SUPER PREMIUM,4.0,3,MAGNIFICA DO MARANHAO,0
1052,63311,,,,,0.0,,,4.5,0,ADRIATICA,7
1057,10965,,,,,0.0,,,5.0,0,ADRIATICA,0
1078,6013,,,,,0.0,,,6.600000000000001,0,ADRIATICA,0
1079,15985,,,,,0.0,,,5.0,0,ADRIATICA,7
1080,5983,,,,,0.0,,,5.7,0,ADRIATICA,0
1084,66738,,,,,0.0,,,4.8,0,ADRIATICA,0
1098,69265,,,,,0.0,,,8.4,0,ADRIATICA,0
1099,65660,,,,,0.0,,,8.0,0,ADRIATICA,0
1100,60387,,,,,0.0,,,4.0,0,ADRIATICA,0
1101,59286,,,,,0.0,,,4.6,0,ADRIATICA,0
1102,62770,,,,,0.0,,,3.3,0,ADRIATICA,7
1119,71275,,,,,0.0,,,0.0,2,ADRIATICA,7
1121,74582,,,,,0.0,,,5.0,0,ADRIATICA,0
1133,66839,,,,,0.0,,,7.5,0,ADRIATICA,7
1135,77313,CORONA,CORONA EXTRA,Bouteille Young Adult,BOTTLE VP - Tendances,0.35,Corona,SUPER PREMIUM,4.5,1,CORONA,0
1146,57005,,,,,0.0,,,0.0,2,ADRIATICA,0
1147,63627,,,,,0.0,,,5.899999999999999,0,ADRIATICA,7
1183,74583,,,,,0.0,,,4.0,0,ADRIATICA,7
1188,39616,,,,,0.0,,,6.5,0,ADRIATICA,0
1199,54639,,,,,0.0,,,7.5,0,ADRIATICA,0
1213,37961,,,,,0.0,,,3.0,0,ADRIATICA,0
1216,67049,,,,,0.0,,,5.899999999999999,0,ADRIATICA,7
1266,77978,,,,,0.0,,,0.0,2,ADRIATICA,7
1268,77721,LEFFE,"LEFFE BLONDE 0,0",Spécialités,BOTTLE VC,0.33,Blonde,PREMIUM,0.0,2,LEFFE,0
1269,15793,,,,,0.0,,,0.0,2,ADRIATICA,0
1290,66780,,,,,0.0,,,9.0,0,ADRIATICA,0
1408,58941,,,,,0.0,,,0.0,2,ADRIATICA,7
1476,60505,,,,,0.0,,,6.600000000000001,0,ADRIATICA,0
1575,81409,GINETTE,GINETTE BLANCHE,Craft,PERFECT DRAFT,6.0,Blanche,SUPER PREMIUM,0.0,3,CARACU,7
1577,81411,GINETTE,GINETTE FRUIT,Craft,PERFECT DRAFT,6.0,Fruit,SUPER PREMIUM,0.0,3,MAGNIFICA DO MARANHAO,7
1837,63285,HOEGAARDEN,HOEGAARDEN WHITE,Spécialités,BOTTLE VP - Hors Tendances,0.25,Blanche,PREMIUM,4.9,0,HOEGAARDEN,0
2005,54232,CORONA,CORONA EXTRA,Bouteille Young Adult,BOTTLE VP - Tendances,0.35,Corona,SUPER PREMIUM,4.5,1,CORONA,7
2093,80417,,,,,0.0,,,8.4,0,ADRIATICA,0
2096,48538,,,,,0.0,,,0.0,2,ADRIATICA,7
2098,46093,,,,,0.0,,,0.0,2,ADRIATICA,0
2102,68280,GOOSE,GOOSE,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,4.100000000000001,3,GOOSE ISLANDGOOSE IPA,7
2236,3411,,,,,0.0,,,6.5,0,ADRIATICA,0
2403,64272,KWAK,KWAK,Craft,BOTTLE VP - Hors Tendances,0.75,-,SUPER PREMIUM,8.4,1,BECKS,0
2418,72396,,,,,0.0,,,5.0,0,ADRIATICA,7
2495,76952,GINETTE,GINETTE FRUIT,Craft,BOTTLE VP - Hors Tendances,0.33,Fruit,SUPER PREMIUM,4.0,1,MAGNIFICA DO MARANHAO,0
2563,63908,,,,,0.0,,,7.3,0,ADRIATICA,7
2699,7519873,,,,,0.0,,,0.0,2,ADRIATICA,7
2749,55357,,,,,0.0,,,0.0,2,ADRIATICA,7
2996,78313,,,,,0.0,,,5.0,0,ADRIATICA,7
3161,45416,,,,,0.0,,,5.0,0,ADRIATICA,7
3196,77995,,,,,0.0,,,5.800000000000001,0,ADRIATICA,7
3255,61685,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,BOTTLE VP - Hors Tendances,0.33,Blonde,SUPER PREMIUM,8.4,1,ANDES,0
3473,76828,GINETTE,GINETTE BLANCHE,Craft,BOTTLE VP - Hors Tendances,0.33,Blanche,SUPER PREMIUM,5.0,1,CARACU,0
3773,61943,,,,,0.0,,,0.0,2,ADRIATICA,7
4036,76611,,,,,0.0,,,5.9,0,ADRIATICA,7
4197,72434,BUD,BUD,Bouteille Young Adult,BOTTLE VP - Tendances,0.25,Bud,PREMIUM LAGER,5.0,1,BUDWEISER,7
4203,20527,LEFFE,LEFFE BLONDE,Spécialités,BOTTLE VP - Hors Tendances,0.33,Blonde,PREMIUM,6.600000000000001,0,LEFFE,0
4332,15710,,,,,0.0,,,0.0,2,ADRIATICA,7
4339,65642,,,,,0.0,,,0.0,2,ADRIATICA,7
4586,68431,CORONA,CORONA EXTRA,Bouteille Young Adult,BOTTLE VP - Tendances,0.21,Corona,SUPER PREMIUM,4.5,1,CORONA,7
4727,9976,,,,,0.0,,,5.1,0,ADRIATICA,0
4778,74529,GINETTE,GINETTE LAGER,Craft,BOTTLE VP - Hors Tendances,0.33,Triple,PREMIUM LAGER,4.5,6,BRAHMA EXTRA RED LAGER,7
5143,3507,LEFFE,LEFFE RITUEL 9°,Super Spécialités,BOTTLE VC,0.33,Rituel,PREMIUM,9.0,6,LEFFE,7
8863,61687,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,BOTTLE VP - Hors Tendances,1.5,Blonde,SUPER PREMIUM,8.4,1,ANDES,7
10740,62474,LEFFE,LEFFE RUBY,Super Spécialités,BOTTLE VP - Hors Tendances,0.25,Ruby,PREMIUM,5.0,6,LEFFE,7
12756,40093,LEFFE,LEFFE ROYALE,Super Spécialités,BOTTLE VC,0.33,Whitbread Golding,PREMIUM,7.5,6,LEFFE,7
12852,75534,,,,,0.0,,,0.0,2,ADRIATICA,7
13099,63478,,,,,0.0,,,4.9,0,ADRIATICA,7
13130,50453,LEFFE,LEFFE ROYALE,Super Spécialités,PERFECT DRAFT,6.0,MNT Hood,PREMIUM,0.0,4,LEFFE,7
13558,59939,GINETTE,GINETTE BLONDE,Craft,BOTTLE VP - Hors Tendances,0.33,Blonde,SUPER PREMIUM,0.0,5,MICHELOB ULTRA,5
15320,9937,LEFFE,LEFFE TRIPLE,Spécialités,BOTTLE VC,0.33,Triple,PREMIUM,8.5,6,LEFFE,5
20068,66719,BIRRA DEL BORGO,BIRRA DEL BORGO,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,5.0,3,BERRIO DO PIAUI,5
20069,73181,,,,,0.0,,,0.0,2,ADRIATICA,5
20198,18692,,,,,0.0,,,4.9,0,ADRIATICA,5
20277,6108,LEFFE,LEFFE BLONDE,Spécialités,BOTTLE VP - Hors Tendances,0.75,Blonde,PREMIUM,6.600000000000001,0,LEFFE,5
21614,15800,,,,,0.0,,,0.0,2,ADRIATICA,1
21762,62706,,,,,0.0,,,6.600000000000001,0,ADRIATICA,2
21763,62707,,,,,0.0,,,6.600000000000001,0,ADRIATICA,2
21886,58245,,,,,0.0,,,0.0,2,ADRIATICA,1
22460,67562,,,,,0.0,,,5.0,0,ADRIATICA,3
22910,67483,,,,,0.0,,,0.0,2,ADRIATICA,3
22988,34906,,,,,0.0,,,0.0,2,ADRIATICA,4
24851,15709,,,,,0.0,,,0.0,2,ADRIATICA,4
24975,64601,CAMDEN,CAMDEN PALE ALE,Craft,BOTTLE VP - Hors Tendances,0.33,-,SUPER PREMIUM,4.0,1,GOOSE ISLAND HONKERS ALE,4
25090,58277,LEFFE,LEFFE BLONDE,Spécialités,BOTTLE VP - Hors Tendances,0.25,Blonde,PREMIUM,0.0,2,LEFFE,2
25725,72413,LEFFE,LEFFE BLONDE,Spécialités,BOTTLE VP - Hors Tendances,0.25,Blonde,PREMIUM,6.600000000000001,0,LEFFE,1
25924,10687,,,,,0.0,,,0.0,2,ADRIATICA,2
25969,78123,BUD,BUD,Bouteille Young Adult,BOTTLE VP - Tendances,0.47,Bud,PREMIUM LAGER,5.0,1,BUDWEISER,2
25980,63479,,,,,0.0,,,0.0,2,ADRIATICA,2
25988,58328,,,,,0.0,,,0.0,2,ADRIATICA,6
26863,53425,,,,,0.0,,,4.9,0,ADRIATICA,6
27927,59895,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,BOTTLE VP - Hors Tendances,0.75,Blonde,SUPER PREMIUM,0.0,5,ANDES,6
29051,61684,KWAK,KWAK,Craft,BOTTLE VP - Hors Tendances,0.33,-,SUPER PREMIUM,8.4,1,BECKS,6
30194,64590,CAMDEN,CAMDEN HELLS,Craft,BOTTLE VP - Hors Tendances,0.33,-,SUPER PREMIUM,4.6,1,ESMERA DE GOIAS,6
33324,72414,LEFFE,LEFFE BLONDE,Spécialités,BOTTLE VP - Hors Tendances,0.25,Blonde,PREMIUM,6.600000000000001,0,LEFFE,6
37103,18827,BUD,BUD,Bouteille Young Adult,BOTTLE VP - Tendances,0.33,Bud,PREMIUM LAGER,0.0,5,BUDWEISER,6
37134,43113,,,,,0.0,,,5.9,0,ADRIATICA,2
37233,45918,,,,,0.0,,,0.0,2,ADRIATICA,2
37581,59941,GINETTE,GINETTE BLANCHE,Craft,BOTTLE VP - Hors Tendances,0.33,Blanche,SUPER PREMIUM,0.0,5,CARACU,2
37944,62033,,,,,0.0,,,0.0,2,ADRIATICA,2
37945,53236,,,,,0.0,,,0.0,2,ADRIATICA,3
38977,67151,,,,,0.0,,,5.9,0,ADRIATICA,2
39640,21416,,,,,0.0,,,0.0,2,ADRIATICA,1
40977,59940,GINETTE,GINETTE FRUIT,Craft,BOTTLE VP - Hors Tendances,0.33,Fruit,SUPER PREMIUM,0.0,5,MAGNIFICA DO MARANHAO,1
40978,15740,,,,,0.0,,,0.0,2,ADRIATICA,1
43007,65716,,,,,0.0,,,0.0,2,ADRIATICA,1
44443,72548,BUD,BUD,Bouteille Young Adult,BOTTLE VP - Tendances,0.33,Bud,PREMIUM LAGER,0.0,5,BUDWEISER,2
45981,75909,GINETTE,GINETTE BLANCHE,Craft,BOTTLE VP - Hors Tendances,0.33,Blanche,SUPER PREMIUM,5.0,1,CARACU,2
47455,77034,LEFFE,LEFFE BLONDE,Spécialités,BOTTLE VP - Hors Tendances,0.25,Blonde,PREMIUM,6.600000000000001,0,LEFFE,2
50262,70579,,,,,0.0,,,6.600000000000001,0,ADRIATICA,2
51588,3371,,,,,0.0,,,0.0,2,ADRIATICA,2
53851,76626,,,,,0.0,,,0.0,2,ADRIATICA,5
53856,69407,BUD,BUD,Bouteille Young Adult,BOTTLE VP - Tendances,0.47,Bud,PREMIUM LAGER,0.0,5,BUDWEISER,5
62613,62034,,,,,0.0,,,0.0,2,ADRIATICA,2
68396,3643,,,,,0.0,,,0.0,2,ADRIATICA,1
68397,15757,,,,,0.0,,,0.0,2,ADRIATICA,1
68542,77393,,,,,0.0,,,0.0,2,ADRIATICA,2
71226,65643,,,,,0.0,,,0.0,2,ADRIATICA,2
71470,72326,,,,,0.0,,,0.0,2,ADRIATICA,2
